,Date,Customer ID,Customer Age,Customer Gender,Country,State,Product Category,Sub Category,Product,Order Quantity,Unit Cost,Unit Price,Cost,Revenue,Year,Month
40,2015-11-11,11277,34,M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,23,45.0,120.0,1035,2760.0,2015,11
42,2013-07-13,11295,43,F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45.0,120.0,450,1200.0,2013,7
43,2015-07-13,11295,43,F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45.0,120.0,450,1200.0,2015,7
44,2014-03-31,11295,43,F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45.0,120.0,495,1320.0,2014,3
45,2016-03-31,11295,43,F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45.0,120.0,495,1320.0,2016,3
46,2013-08-28,11299,61,M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45.0,120.0,360,960.0,2013,8
47,2015-08-28,11299,61,M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45.0,120.0,450,1200.0,2015,8
48,2013-08-27,11330,57,M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45.0,120.0,90,240.0,2013,8
49,2015-08-27,11330,57,M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45.0,120.0,45,120.0,2015,8
50,2013-11-17,11331,29,F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45.0,120.0,540,1440.0,2013,11
51,2015-11-17,11331,29,F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,14,45.0,120.0,630,1680.0,2015,11
52,2013-08-07,11380,38,M,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45.0,120.0,135,360.0,2013,8
54,2015-08-07,11380,38,M,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45.0,120.0,45,120.0,2015,8
