,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Weekday,Day
15,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,Cash,562.32,4.761904762,28.116,4.5,2019,1,Tuesday,15
16,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,Credit card,482.51,4.761904762,24.1255,4.6,2019,3,Monday,11
17,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,Credit card,435.66,4.761904762,21.783,6.9,2019,1,Tuesday,1
18,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,Credit card,164.01,4.761904762,8.2005,8.6,2019,1,Monday,21
19,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,Ewallet,80.6,4.761904762,4.03,4.4,2019,3,Monday,11
20,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,Ewallet,430.2,4.761904762,21.51,4.8,2019,2,Monday,25
21,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,Ewallet,263.94,4.761904762,13.197,5.1,2019,3,Tuesday,5
22,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,Credit card,66.4,4.761904762,3.32,4.4,2019,3,Friday,15
23,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,Ewallet,172.8,4.761904762,8.64,9.9,2019,2,Sunday,17
24,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,Ewallet,265.89,4.761904762,13.2945,6.0,2019,3,Saturday,2
25,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,Credit card,420.72,4.761904762,21.036,8.5,2019,3,Friday,22
26,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,Cash,33.52,4.761904762,1.676,6.7,2019,2,Friday,8
27,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,Credit card,175.34,4.761904762,8.767,7.7,2019,3,Sunday,10
28,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,Cash,441.8,4.761904762,22.09,9.6,2019,1,Friday,25
29,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,Cash,224.01,4.761904762,11.2005,7.4,2019,3,Friday,15
30,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,Credit card,470.65,4.761904762,23.5325,4.8,2019,2,Monday,25
31,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,Cash,702.63,4.761904762,35.1315,4.5,2019,1,Monday,28
32,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,Cash,670.24,4.761904762,33.512,5.1,2019,1,Thursday,10
33,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,Credit card,193.16,4.761904762,9.658,5.1,2019,3,Friday,15
34,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,Ewallet,397.68,4.761904762,19.884,7.5,2019,2,Wednesday,6
35,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,Ewallet,68.12,4.761904762,3.406,6.8,2019,1,Monday,7
36,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,Ewallet,313.1,4.761904762,15.655,7.0,2019,3,Sunday,10
37,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,Ewallet,547.92,4.761904762,27.396,4.7,2019,1,Tuesday,15
38,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,Ewallet,439.36,4.761904762,21.968,7.6,2019,3,Saturday,23
39,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,Cash,240.96,4.761904762,12.048,7.7,2019,3,Sunday,3
40,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,Ewallet,86.72,4.761904762,4.336,7.9,2019,1,Thursday,17
41,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,Cash,112.22,4.761904762,5.611,6.3,2019,2,Saturday,2
42,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,Cash,414.72,4.761904762,20.736,5.6,2019,2,Friday,8
43,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,Cash,789.6,4.761904762,39.48,7.6,2019,3,Monday,4
44,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,Cash,30.74,4.761904762,1.537,7.2,2019,3,Saturday,16
45,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,Cash,375.84,4.761904762,18.792,9.5,2019,3,Saturday,9
46,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,Credit card,510.21,4.761904762,25.5105,8.4,2019,2,Wednesday,27
47,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,Ewallet,180.09,4.761904762,9.0045,4.1,2019,2,Wednesday,6
48,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,Credit card,113.58,4.761904762,5.679,8.1,2019,2,Sunday,10
49,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,Ewallet,826.3,4.761904762,41.315,7.9,2019,3,Tuesday,19
50,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,Cash,639.8,4.761904762,31.99,9.5,2019,2,Sunday,3
51,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,Cash,222.95,4.761904762,11.1475,8.5,2019,2,Sunday,10
52,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,Ewallet,71.48,4.761904762,3.574,6.5,2019,3,Friday,22
53,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,Credit card,15.43,4.761904762,0.7715,6.1,2019,1,Friday,25
54,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,Ewallet,32.32,4.761904762,1.616,6.5,2019,3,Thursday,7
55,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,Cash,687.84,4.761904762,34.392,8.2,2019,2,Thursday,28
56,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,Cash,88.68,4.761904762,4.434,5.8,2019,3,Wednesday,27
57,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,Ewallet,716.8,4.761904762,35.84,6.6,2019,2,Thursday,7
58,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,Cash,723.5,4.761904762,36.175,5.4,2019,1,Sunday,20
59,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,Cash,183.66,4.761904762,9.183,9.3,2019,3,Tuesday,12
60,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,Credit card,74.22,4.761904762,3.711,10.0,2019,2,Friday,15
61,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,Ewallet,334.38,4.761904762,16.719,7.0,2019,2,Sunday,24
62,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,Ewallet,495.63,4.761904762,24.7815,10.0,2019,2,Sunday,3
63,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,Credit card,158.1,4.761904762,7.905,8.6,2019,3,Wednesday,6
64,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,Cash,302.96,4.761904762,15.148,7.6,2019,2,Thursday,14
65,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,Cash,158.7,4.761904762,7.935,5.8,2019,3,Wednesday,13
66,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,Ewallet,66.94,4.761904762,3.347,6.7,2019,2,Sunday,10
67,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,Ewallet,585.66,4.761904762,29.283,9.9,2019,1,Monday,7
68,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,Cash,787.7,4.761904762,39.385,6.4,2019,1,Thursday,24
69,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,Cash,18.33,4.761904762,0.9165,4.3,2019,2,Saturday,2
70,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,Credit card,894.8,4.761904762,44.74,9.6,2019,1,Sunday,6
71,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,Cash,621.2,4.761904762,31.06,5.9,2019,2,Monday,11
72,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,Ewallet,145.56,4.761904762,7.278,4.0,2019,3,Tuesday,5
73,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,Cash,455.46,4.761904762,22.773,8.7,2019,3,Saturday,9
74,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,Ewallet,672.03,4.761904762,33.6015,9.4,2019,1,Tuesday,22
75,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,Credit card,416.5,4.761904762,20.825,5.4,2019,1,Sunday,13
76,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,Credit card,441.36,4.761904762,22.068,8.6,2019,1,Wednesday,9
77,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,Credit card,180.09,4.761904762,9.0045,5.7,2019,1,Saturday,12
78,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,Ewallet,783.1,4.761904762,39.155,6.6,2019,3,Tuesday,5
79,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,Cash,101.9,4.761904762,5.095,6.0,2019,1,Tuesday,22
80,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,Credit card,595.14,4.761904762,29.757,5.5,2019,1,Monday,21
81,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,Ewallet,290.04,4.761904762,14.502,6.4,2019,1,Saturday,26
82,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,Ewallet,154.0,4.761904762,7.7,6.6,2019,1,Wednesday,23
83,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,Credit card,321.44,4.761904762,16.072,8.3,2019,2,Saturday,23
84,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,Cash,244.55,4.761904762,12.2275,6.6,2019,3,Saturday,9
85,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,Ewallet,581.42,4.761904762,29.071,4.0,2019,3,Tuesday,5
86,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,Cash,382.6,4.761904762,19.13,9.9,2019,3,Monday,25
87,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,Credit card,345.66,4.761904762,17.283,7.3,2019,3,Wednesday,27
88,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,Cash,42.47,4.761904762,2.1235,5.7,2019,1,Wednesday,2
89,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,Cash,461.94,4.761904762,23.097,6.1,2019,2,Wednesday,27
90,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,Cash,189.52,4.761904762,9.476,7.1,2019,1,Wednesday,23
91,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,Ewallet,448.6,4.761904762,22.43,8.2,2019,1,Saturday,26
92,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,Ewallet,153.86,4.761904762,7.693,5.1,2019,1,Thursday,10
93,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,Credit card,579.24,4.761904762,28.962,8.6,2019,3,Tuesday,12
94,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,Credit card,89.75,4.761904762,4.4875,6.6,2019,2,Wednesday,6
95,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,Ewallet,97.16,4.761904762,4.858,7.2,2019,3,Friday,8
96,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,Ewallet,878.7,4.761904762,43.935,5.1,2019,3,Friday,29
97,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,Cash,74.7,4.761904762,3.735,4.1,2019,2,Saturday,9
98,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,Ewallet,158.25,4.761904762,7.9125,9.3,2019,3,Saturday,23
99,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,Cash,496.2,4.761904762,24.81,7.4,2019,3,Tuesday,5
100,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,Cash,48.71,4.761904762,2.4355,4.1,2019,3,Tuesday,26
101,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,Cash,706.95,4.761904762,35.3475,7.2,2019,3,Friday,1
102,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,Cash,207.63,4.761904762,10.3815,4.9,2019,2,Friday,1
103,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,Cash,349.56,4.761904762,17.478,9.9,2019,3,Thursday,28
104,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,Cash,212.45,4.761904762,10.6225,8.0,2019,3,Tuesday,19
105,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,Ewallet,886.7,4.761904762,44.335,7.3,2019,1,Saturday,12
106,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,Credit card,164.28,4.761904762,8.214,7.9,2019,1,Saturday,5
107,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,Cash,372.78,4.761904762,18.639,7.4,2019,3,Friday,22
108,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2019-03-24,Cash,305.82,4.761904762,15.291,4.2,2019,3,Sunday,24
109,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2019-03-03,Cash,819.7,4.761904762,40.985,9.2,2019,3,Sunday,3
110,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2019-02-05,Ewallet,32.98,4.761904762,1.649,4.6,2019,2,Tuesday,5
111,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2019-02-05,Credit card,294.63,4.761904762,14.7315,7.8,2019,2,Tuesday,5
112,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2019-02-15,Cash,509.88,4.761904762,25.494,8.4,2019,2,Friday,15
113,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,Ewallet,522.63,4.761904762,26.1315,4.3,2019,1,Saturday,19
114,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,Credit card,727.11,4.761904762,36.3555,9.5,2019,2,Friday,1
115,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,Credit card,81.06,4.761904762,4.053,7.1,2019,3,Saturday,2
116,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,Ewallet,109.7,4.761904762,5.485,5.3,2019,3,Tuesday,5
117,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,Ewallet,51.36,4.761904762,2.568,5.2,2019,1,Wednesday,16
118,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,Ewallet,109.6,4.761904762,5.48,6.0,2019,2,Saturday,2
119,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,Ewallet,106.88,4.761904762,5.344,4.1,2019,1,Sunday,20
120,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,Credit card,796.48,4.761904762,39.824,5.2,2019,2,Thursday,14
121,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,Credit card,399.84,4.761904762,19.992,6.5,2019,1,Saturday,12
122,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,Credit card,899.64,4.761904762,44.982,4.2,2019,3,Saturday,9
123,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,Credit card,511.28,4.761904762,25.564,4.6,2019,3,Wednesday,13
124,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,Ewallet,451.76,4.761904762,22.588,7.3,2019,3,Saturday,9
125,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,Credit card,655.83,4.761904762,32.7915,4.5,2019,3,Sunday,10
126,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,Cash,161.25,4.761904762,8.0625,9.0,2019,1,Sunday,27
127,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,Credit card,285.57,4.761904762,14.2785,5.9,2019,1,Tuesday,8
128,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,Ewallet,548.32,4.761904762,27.416,8.5,2019,1,Tuesday,8
129,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,Ewallet,812.52,4.761904762,40.626,7.2,2019,2,Friday,8
130,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,Cash,277.34,4.761904762,13.867,7.5,2019,1,Friday,25
131,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,Cash,552.78,4.761904762,27.639,8.3,2019,3,Wednesday,6
132,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,Cash,139.36,4.761904762,6.968,7.4,2019,2,Sunday,10
133,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,Credit card,524.7,4.761904762,26.235,8.8,2019,2,Sunday,17
134,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,Ewallet,487.8,4.761904762,24.39,5.3,2019,3,Friday,8
135,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,Cash,270.66,4.761904762,13.533,6.2,2019,2,Monday,18
136,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,Credit card,131.55,4.761904762,6.5775,8.8,2019,1,Friday,18
137,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,Cash,206.52,4.761904762,10.326,9.8,2019,2,Monday,18
138,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2019-02-16,Cash,519.1,4.761904762,25.955,8.2,2019,2,Saturday,16
139,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,Ewallet,580.0,4.761904762,29.0,9.2,2019,3,Saturday,16
140,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,Credit card,898.0,4.761904762,44.9,5.4,2019,1,Wednesday,23
141,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,Cash,905.0,4.761904762,45.25,8.1,2019,1,Friday,25
142,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,Cash,686.0,4.761904762,34.3,9.1,2019,2,Tuesday,5
143,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2019-02-22,Credit card,30.41,4.761904762,1.5205,8.4,2019,2,Friday,22
144,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,Ewallet,467.7,4.761904762,23.385,8.0,2019,1,Monday,21
145,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2019-03-08,Credit card,277.56,4.761904762,13.878,9.5,2019,3,Friday,8
146,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,Ewallet,301.4,4.761904762,15.07,9.2,2019,2,Sunday,10
147,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13.228,277.788,2019-03-19,Credit card,264.56,4.761904762,13.228,5.6,2019,3,Tuesday,19
148,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,Credit card,574.88,4.761904762,28.744,6.2,2019,3,Wednesday,6
149,A,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,272.664,2019-03-27,Credit card,259.68,4.761904762,12.984,4.9,2019,3,Wednesday,27
150,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18.308,384.468,2019-03-23,Credit card,366.16,4.761904762,18.308,4.8,2019,3,Saturday,23
151,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12.096,254.016,2019-03-11,Credit card,241.92,4.761904762,12.096,7.3,2019,3,Monday,11
152,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,Credit card,749.16,4.761904762,37.458,7.4,2019,1,Tuesday,29
153,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2019-02-07,Ewallet,98.88,4.761904762,4.944,9.9,2019,2,Thursday,7
154,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32.388,680.148,2019-01-28,Cash,647.76,4.761904762,32.388,9.3,2019,1,Monday,28
155,A,Yangon,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2019-02-20,Credit card,461.45,4.761904762,23.0725,9.0,2019,2,Wednesday,20
156,B,Mandalay,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,Cash,72.17,4.761904762,3.6085,6.1,2019,1,Friday,4
157,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,Ewallet,251.4,4.761904762,12.57,9.7,2019,3,Thursday,7
158,B,Mandalay,Member,Male,Health and beauty,97.22,9,43.749,918.729,2019-03-30,Ewallet,874.98,4.761904762,43.749,6.0,2019,3,Saturday,30
159,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28.017,588.357,2019-03-27,Ewallet,560.34,4.761904762,28.017,10.0,2019,3,Wednesday,27
160,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17.272,362.712,2019-01-19,Credit card,345.44,4.761904762,17.272,8.3,2019,1,Saturday,19
161,A,Yangon,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2019-02-25,Cash,63.69,4.761904762,3.1845,6.0,2019,2,Monday,25
162,A,Yangon,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,2019-03-13,Credit card,320.53,4.761904762,16.0265,7.0,2019,3,Wednesday,13
163,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,2019-01-30,Ewallet,152.8,4.761904762,7.64,6.5,2019,1,Wednesday,30
164,B,Mandalay,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2019-02-20,Credit card,399.0,4.761904762,19.95,5.9,2019,2,Wednesday,20
165,B,Mandalay,Member,Male,Health and beauty,42.57,8,17.028,357.588,2019-02-25,Ewallet,340.56,4.761904762,17.028,5.6,2019,2,Monday,25
166,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,Cash,955.8,4.761904762,47.79,4.8,2019,1,Wednesday,16
167,A,Yangon,Normal,Male,Fashion accessories,98.98,10,49.49,1039.29,2019-02-08,Credit card,989.8,4.761904762,49.49,8.7,2019,2,Friday,8
168,A,Yangon,Normal,Male,Food and beverages,51.28,6,15.384,323.064,2019-01-19,Cash,307.68,4.761904762,15.384,6.5,2019,1,Saturday,19
169,A,Yangon,Member,Male,Sports and travel,69.52,7,24.332,510.972,2019-02-01,Credit card,486.64,4.761904762,24.332,8.5,2019,2,Friday,1
