,Customer ID,Customer Age,Customer Gender,Country,State,Product Category,Sub Category,Product,Order Quantity,Unit Cost,Unit Price,Cost,Revenue
12/26/2013,11203,49,M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,270,713
12/26/2015,11203,49,M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,225,594
01/02/2014,11211,48,F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,180,475
01/02/2016,11211,48,F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,180,475
3/13/2014,11211,48,F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,20,45,120,900,2376
1/22/2016,11176,29,M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,45,119
3/13/2016,11211,48,F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,22,45,120,990,2614
5/23/2014,11215,47,F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,24,45,120,1080,2851
5/23/2016,11215,47,F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,23,45,120,1035,2732
7/19/2013,11259,32,F,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,405,929
7/19/2015,11259,32,F,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,405,929
11/11/2013,11277,34,M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,25,45,120,1125,2970
11/11/2015,11277,34,M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,23,45,120,1035,2732
11/26/2013,11019,19,M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,360,950
7/13/2013,11295,43,F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,450,1176
7/13/2015,11295,43,F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,,450,1176
3/31/2014,11295,43,F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45,120,495,1294
3/31/2016,11295,43,F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45,120,495,1294
8/28/2013,11299,61,M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,360,941
8/28/2015,11299,61,M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,450,1176
8/27/2013,11330,57,M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,90,238
8/27/2015,11330,57,M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,45,119
11/17/2013,11331,29,F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,540,1426
11/17/2015,11331,29,F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,14,,120,630,1663
08/07/2013,11380,38,M,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,135,295
08/07/2013,11380,38,M,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,135,295
08/07/2015,11380,38,M,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,45,98
1/22/2016,11176,29,M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,45,119
